,X_centroid,Y_centroid,Hoechst,AF1,CD31,Ki-67,AF2,CD163,CD20,CD4,CD8a,CD68,PD-L1,FOXP3,E-Cadherin,PD-1,CD45,Pan-CK,SMA,Cell type
90312,1945.8,4966.6,14812.7002,1314.9091,389.8455,381.0182,436.6727,290.3818,3046.3909,413.9,334.4727,242.9818,339.5182,258.4818,238.4364,287.5818,2547.0908,206.4909,275.7727,CD20+
90313,2008.8,4967.5,14680.167,1283.7263,362.4826,598.1219,433.694,289.2139,784.2289,1088.0547,495.9901,294.1169,332.8706,287.8234,242.1642,324.9627,1743.0945,224.7463,282.2587,CD4+
90315,1962.7,4968.8,12652.6104,1322.4503,364.6728,376.7827,444.8874,292.8403,1482.6885,905.6545,283.5419,298.5471,307.1597,256.1964,243.5995,377.2173,1541.9293,226.4189,282.4948,CD20+ CD4+
90316,2049.8,4969.7,5101.0693,1551.079,838.9111,407.1482,482.263,289.3333,462.6482,357.9543,277.179,258.5173,321.321,259.8333,241.8654,292.2914,320.8889,224.9469,283.1037,Others
90317,2082.1,4969.4,11146.4424,1472.1896,384.9097,395.8736,468.3228,1106.7969,455.6027,891.6546,558.3296,331.4853,342.8081,252.5011,245.754,296.3025,993.772,226.4876,307.2257,CD163+ CD4+
90318,2090.5,4968.3,5395.7554,1429.8982,374.7128,409.2627,471.6721,306.5255,456.7006,370.1629,276.8961,249.4827,301.6721,242.3564,251.2139,265.7597,405.9084,228.7739,288.1018,Others
90319,2031.9,4969.6,7833.6616,1559.6088,709.7235,419.2471,480.7412,288.7265,528.65,399.2353,294.0647,256.0,331.7912,263.0912,239.2294,295.2706,344.1823,224.9735,306.5294,Others
90321,1986.3,4969.8,9388.1113,1403.6484,379.3853,391.7411,467.5621,300.5811,2035.6357,1003.28,302.8189,273.9474,318.3242,327.7158,240.9326,297.8042,1727.8422,227.9537,286.2568,CD20+ CD4+
90322,1993.2,4971.4,10220.3604,1468.7019,383.8667,387.6863,465.0412,295.1078,3809.647,613.3863,313.2823,267.1314,304.5804,250.5314,243.0902,301.0725,1798.1039,217.7922,282.1196,CD20+
90325,1955.9,4970.1,14802.3086,1359.8842,360.6757,383.4826,444.444,282.4518,1843.2703,1017.3977,298.1853,260.7761,318.7722,343.054,244.9807,392.3822,2037.1467,209.9498,284.0695,CD20+ CD4+
90326,1971.2,4969.7,13571.4189,1397.0782,388.1187,490.6566,458.6591,359.7399,1699.9974,806.6743,400.0606,497.4369,345.3535,525.2651,243.9394,301.3106,1679.6642,233.7626,282.0252,Others
90329,1946.8,4970.2,16916.3203,1317.0245,380.8853,363.7131,456.8689,280.1557,3039.5083,328.9262,282.6147,238.2623,306.041,249.2869,236.1148,277.8689,2160.3606,214.5246,289.5901,CD20+
90330,2074.0,4970.2,10228.1973,1537.3508,751.136,422.6974,483.5877,301.1754,1374.6666,344.1886,297.4035,272.3158,303.6404,246.1798,247.6096,271.2281,819.3465,230.6974,537.693,CD20+
90331,1979.7,4970.8,13912.2715,1325.9321,370.963,393.3087,448.0432,283.5124,601.7593,1074.6482,333.5494,261.5988,325.0679,252.0556,237.8765,296.6049,1638.0555,230.2284,281.3025,CD4+
90332,1942.1,4972.4,12974.5381,1331.7772,368.4408,378.7262,444.9559,271.9907,2322.0093,353.3132,299.8376,264.1299,305.8654,244.826,245.5476,279.0418,1717.7726,224.7216,294.2135,CD20+
90333,2005.6,4974.0,9717.9707,1459.9412,376.1364,405.2417,476.8988,286.3698,1264.5062,733.188,408.9659,265.9267,312.6859,399.7675,240.3616,305.1684,1227.6509,222.5124,284.6374,CD20+ CD4+
90335,1930.0,4972.2,15536.6631,1243.3632,374.9895,365.3158,417.7368,280.5316,3121.9473,345.7316,314.9316,238.6316,313.3263,256.5211,246.7947,287.7684,2428.2368,214.6105,279.5579,CD20+
90339,1952.2,4973.8,14589.2295,1358.5229,363.4679,404.0504,449.7661,276.3119,1817.8348,519.0459,289.844,254.9954,306.0504,254.1697,245.1651,286.5367,1388.7844,235.9817,285.3899,CD20+
90341,2087.5,4974.1,2801.4087,1704.3503,394.8127,452.1557,487.8005,1502.2239,1151.0389,811.9294,350.236,536.5669,364.9465,244.2652,242.8954,318.0049,976.3455,228.6545,289.5377,Others
